"Date","No.","Description","Debit","Credit"
"2/12/2018","","34418 POS PUR 02/10 21:08 SHEETZ 00 PITTSBURGH PA 002 034418 ~5541","-38.6600",""
"2/12/2018","","44011 POS PUR 02/08 03:10 PETVALU #5176 PITTSBURGH PA 00000000 044011 ~5995","-35.3500",""
"2/12/2018","","50037 POS PUR 02/09 13:22 MOE'S SW GRILL # WEXFORD PA 00215815 050037 ~5814","-15.3800",""
"2/12/2018","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"2/12/2018","","17407 POS PUR 02/10 00:31 TARGET 00 PITTSBURGH PA 151 017407 ~5310","-13.0000",""
"2/9/2018","","MOBILE BANKING DEPOSIT","","180.0000"
"2/9/2018","","PAYPAL INST XFER HBO STORE","-39.9900",""
"2/9/2018","","18211 POS PUR 02/08 23:14 HELLO BISTRO 250 PITTSBURGH PA 45918211 01821~5812","-27.7100",""
"2/9/2018","","95605 POS PUR 02/09 01:02 APL* ITUNES.COM/ 866-712-7753 CA 00000000 095~5735","-22.4500",""
"2/9/2018","","PAYPAL INST XFER PRAGPROG BK","-16.9500",""
"2/9/2018","","41253 POS PUR 02/09 19:57 Audible adbl.co/bill NJ 00000000 041253 ~5968","-15.8500",""
"2/9/2018","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"2/8/2018","0000000590","Check","-675.0000",""
"2/8/2018","","TARGET CARD SRVC BILL PAY 000000006309313","-50.0000",""
"2/8/2018","","PAYPAL INST XFER JETBRAINSAM","-21.2900",""
"2/6/2018","","COMENITY PAY UR WEB PYMT P18035149407939","-28.0000",""
"2/6/2018","","70725 POS PUR 02/06 02:08 BJ'S RESTAURANTS PITTSBURGH PA 00000000 07072~5812","-24.5500",""
"2/6/2018","","PAYPAL INST XFER DROPBOX","-9.9900",""
"2/5/2018","","60557 POS PUR 02/02 05:02 GIANT-EAGLE #002 PITTSBURGH PA 00000000 06055~5411","-122.2100",""
"2/5/2018","","BARCLAYCARD US CREDITCARD 516695218","-103.0900",""
"2/5/2018","","73860 RECURRING 02/02 20:00 IPY*GOLDFISH WEX 724-799-8850 PA 46973860 073~8299","-69.0000",""
"2/5/2018","","PAYPAL ECHECK 4MK22ADLL5GKW","-65.0000",""
"2/5/2018","","NTB ONLINE PMT 112557796315526","-60.0000",""
"2/5/2018","","46033 POS PUR 02/03 04:11 BP#9617200AVALON PITTSBURGH PA 9617001 046033~5542","-50.6400",""
"2/5/2018","","CAPITAL ONE MOBILE PMT 803439809421146","-46.0000",""
"2/5/2018","","0006 POS PUR 02/03 14:24 BANFIELD 0588 PITTSBURGH PA 00001804 000006 ~0742","-42.9500",""
"2/5/2018","","PAYPAL INST XFER STARBUCKS","-25.0000",""
"2/5/2018","","60565 POS PUR 02/02 03:36 WALGREENS #9736 PITTSBURGH PA 00000000 060565~5912","-18.9900",""
"2/5/2018","","18439 POS PUR 02/03 04:59 SHEETZ 00 PITTSBURGH PA 001 018439 ~5541","-12.9000",""
"2/5/2018","","71623 POS PUR 02/02 16:16 CARNEGIE MUSEUMS 412-622-3370 PA 00010037 071~7991","-12.5000",""
"2/5/2018","","PAYPAL INST XFER SPOTIFYUSAI","-10.6900",""
"2/5/2018","","60573 POS PUR 02/02 05:42 BRUEGGERS #3727 PITTSBURGH PA 00000000 060573~5814","-6.9300",""
"2/5/2018","","31536 POS PUR 02/01 01:13 ABM PARKING CARN PITTSBURGH PA 00000000 03153~7523","-5.0000",""
"2/5/2018","","40327 POS PUR 02/01 14:35 CSC STORE PITTSBURGH PA LK529999 040327 ~5947","-4.7700",""
"2/2/2018","","DEVELOPMENT DIME DIRECT DEP 430032353105MU9","","1976.9000"
"2/2/2018","","PAYPAL INST XFER GRUBHUBFOOD","-41.8100",""
"2/2/2018","","38886 POS PUR 02/01 03:13 IHOP #3403 PITTSBURGH PA 00000000 038886 ~5812","-33.8600",""
"2/2/2018","","58744 POS PUR 02/01 15:05 SHEETZ 00 PITTSBURGH PA 003 058744 ~5541","-23.2600",""
"2/2/2018","","59271 POS PUR 02/02 08:33 CVS/PHARMACY #04 PITTSBURGH PA 30409102 02097~5912","-8.9100",""
"2/1/2018","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"2/1/2018","","35163 POS PUR 01/31 09:51 KEYME 888-380-03 8883800394 NY 00000000 03516~5399","-12.8000",""
"1/31/2018","","5815 POS PUR 01/30 23:17 STATE FARM INSUR 800-956-6310 IL 0001 005815 ~6300","-135.0000",""
"1/31/2018","","43692 POS PUR 01/30 02:59 SHEETZ 00 PITTSBURGH PA 003 043692 ~5541","-9.6000",""
"1/31/2018","","72148 POS PUR 01/30 09:40 MOE'S ONLINE #93 olo.com PA 00007733 072148 ~5811","-9.4200",""
"1/30/2018","","37960 POS PUR 01/29 21:30 SUNOCO 036350180 BRIDGEVILLE PA 0363001 03796~5542","-47.7200",""
"1/30/2018","","92493 POS PUR 01/28 10:38 BLS*OZ-CODE97254 LONDON GB 00000000 092493 ~7372","-10.0300",""
"1/29/2018","","26856 POS PUR 01/27 08:07 GIANT-EAGLE #002 PITTSBURGH PA 00000000 02685~5411","-127.4800",""
"1/29/2018","","0005 POS PUR 01/27 07:46 LAF NORTH HILLS PITTSBURGH PA 00000080 000005~7997","-60.0000",""
"1/29/2018","","PAYPAL INST XFER GROUPON INC","-36.0000",""
"1/29/2018","","0085 POS PUR 01/26 21:22 BEER & POP 4 LES BRIDGEVILLE PA 00006596 0000~5921","-27.8000",""
"1/29/2018","","72004 POS PUR 01/29 03:18 APL* ITUNES.COM/ 866-712-7753 CA 00000000 072~5735","-21.3700",""
"1/29/2018","","66878 POS PUR 01/27 14:46 FUN SLIDES - NOR PITTSBURGH PA 58066878 06687~7999","-16.0000",""
"1/29/2018","","66860 POS PUR 01/27 13:03 NRGIZE LIFE STYL PITTSBURGH PA 58066860 06686~5814","-7.2200",""
"1/26/2018","","1544 POS PUR 01/26 10:18 ROCHESTER INNHAR PITTSBURGH PA 01463285 00154~5812","-37.8800",""
"1/26/2018","","25067 POS PUR 01/25 18:53 GIANT-EAGLE #002 Pittsburgh PA 25007600 29446~5411","-24.0500",""
"1/26/2018","","80108 POS PUR 01/25 22:23 PET SUPPLIES PLU BRIDGEVILLE PA 00345360 0801~5995","-12.8000",""
"1/26/2018","","88978 POS PUR 01/25 05:45 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 088~5942","-10.5900",""
"1/25/2018","","AES STDNT LOAN PA3767191732B","-104.8400",""
"1/25/2018","","40583 POS PUR 01/25 01:26 APL* ITUNES.COM/ 866-712-7753 CA 00000000 040~5735","-38.4900",""
"1/25/2018","","26443 POS PUR 01/24 07:48 SUBWAY 00 PITTSBURGH PA 001 026443 ~5814","-11.7600",""
"1/24/2018","","94114 POS PUR 01/23 19:01 DUQUESNE LIGHT P 412-393-7100 PA 00000000 094~4900","-168.1900",""
"1/24/2018","","49307 POS PUR 01/22 22:26 SUNOCO 036304640 PITTSBURGH PA 0363003 049307~5542","-48.6500",""
"1/24/2018","","10693 POS PUR 01/23 11:27 TARGET 00 PITTSBURGH PA 171 010693 ~5310","-45.0700",""
"1/24/2018","","13969 POS PUR 01/23 11:55 TARGET 00 PITTSBURGH PA 151 013969 ~5310","-3.4000",""
"1/23/2018","","SURCHARGE FEE 777403 ATM WTD 01/22 21:54 BABCOCK SUNO-355 PITTSBURGH PA P355815","-2.0000",""
"1/23/2018","","15520 RECURRING 01/22 13:40 AT&T*BILL PAYMEN WWW.ATT.COM TX 0034 015520 ~4814","-231.8900",""
"1/23/2018","","777403 ATM WTD 01/22 21:54 BABCOCK SUNO-355 PITTSBURGH PA P355815 003978~6011","-20.0000",""
"1/23/2018","","FEE FOR ATM WTD 01/22 21:54 BABCOCK SUNO-355 PITTSBURGH PA P355815 003978~6011","-2.5000",""
"1/22/2018","","88953 POS PUR 01/20 18:12 GIANT-EAGLE #002 PITTSBURGH PA 00000000 08895~5411","-90.1900",""
"1/22/2018","","Credit One Bank Payment 0000241034368","-80.0000",""
"1/22/2018","","CAPITAL ONE MOBILE PMT 801939809530053","-80.0000",""
"1/22/2018","","Credit One Bank Payment 0000241033863","-72.0000",""
"1/22/2018","","PAYPAL INST XFER GRUBHUBFOOD","-66.7600",""
"1/22/2018","","DISCOVER E-PAYMENT 9459","-60.0000",""
"1/22/2018","","PAYMENT FOR AMZ STORECARD 1498334375","-60.0000",""
"1/22/2018","","WalMart CC WM EPAY 1498335889","-60.0000",""
"1/22/2018","","Old Navy CC OLDN EPAY 1498337961","-55.8000",""
"1/22/2018","","70021 POS PUR 01/20 18:56 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 070~5942","-53.6800",""
"1/22/2018","","98461 POS PUR 01/19 13:19 SHEETZ 00 PITTSBURGH PA 002 098461 ~5541","-30.5200",""
"1/22/2018","","PAYPAL INST XFER WORDPRESS","-26.0000",""
"1/22/2018","","74119 POS PUR 01/21 10:36 APL* ITUNES.COM/ 866-712-7753 CA 00000000 074~5735","-25.6300",""
"1/22/2018","","CAPITAL ONE AUTO CARPAY 006206175051197","-25.0000",""
"1/22/2018","","CAPITAL ONE MOBILE PMT 801939809530054","-20.0000",""
"1/22/2018","","PAYPAL INST XFER TEAMROCKET","-10.0000",""
"1/22/2018","","0217 POS PUR 01/21 09:17 DUNKIN #349047 Q PITTSBURGH PA 3490002 000217~5814","-8.3200",""
"1/22/2018","","13502 POS PUR 01/21 09:27 TARGET 00 PITTSBURGH PA 151 013502 ~5310","-3.4000",""
"1/19/2018","","DEVELOPMENT DIME DIRECT DEP 573031488473MU9","","1880.6000"
"1/19/2018","","PAYPAL INST XFER IGN ENT","-6.9500",""
"1/18/2018","","COMENITY PAY OH WEB PYMT P18017144801499","-60.0000",""
"1/18/2018","","PAYPAL INST XFER MANNING PUB","-18.8500",""
"1/18/2018","","PAYPAL INST XFER NETFLIX.COM","-11.7600",""
"1/18/2018","","68287 POS PUR 01/18 13:11 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 068~5942","-10.5900",""
"1/18/2018","","19116 POS PUR 01/17 19:23 SUNOCO 036317440 SWISSVALE PA 0363001 019116 ~5541","-6.9000",""
"1/17/2018","","BARCLAYCARD US CREDITCARD 512528446","-100.0000",""
"1/17/2018","","22712 POS PUR 01/16 07:38 SUNOCO 036301420 PITTSBURGH PA 0363001 022712~5542","-48.9800",""
"1/17/2018","","31185 RECURRING 01/16 13:34 LA FITNESS 949-255-7200 CA 00000000 031185 ~7997","-29.9500",""
"1/16/2018","","CAPITAL ONE AUTO CARPAY 006206175051197","-274.5000",""
"1/16/2018","","90073 POS PUR 01/15 00:45 ICHIBAN STEAKHOU WEXFORD PA 00486336 090073 ~5812","-89.5400",""
"1/16/2018","","19363 POS PUR 01/14 22:03 SAMSCLUB #6678 PITTSBURGH PA 00000003 019363 ~5300","-68.9000",""
"1/16/2018","","11718 POS PUR 01/14 17:13 APL* ITUNES.COM/ 866-712-7753 CA 00000000 011~5735","-45.9900",""
"1/16/2018","","78501 POS PUR 01/14 11:37 PETSMART # 3001 PITTSBURGH PA 00007847 078501~5995","-44.0100",""
"1/16/2018","","13444 POS PUR 01/12 19:08 GIANT-EAGLE #002 Pittsburgh PA 25001000 27433~5411","-29.9100",""
"1/16/2018","","PAYPAL INST XFER MANNING PUB","-15.9900",""
"1/16/2018","","51850 POS PUR 01/13 07:03 Amazon.com AMZN.COM/BILL WA 00000000 051850 ~5942","-7.0100",""
"1/16/2018","","41059 POS PUR 01/13 07:50 APL* ITUNES.COM/ 866-712-7753 CA 00000000 041~5735","-5.3400",""
"1/16/2018","","49325 POS PUR 01/12 19:10 GIANT-EAGLE #002 Pittsburgh PA 25000900 27551~5411","-1.3400",""
"1/16/2018","","46599 POS PUR 01/13 17:18 APL* ITUNES.COM/ 866-712-7753 CA 00000000 046~5735","-0.9900",""
"1/11/2018","","59275 POS PUR 01/10 20:45 GIANT-EAGLE #002 Pittsburgh PA 25038000 69998~5411","-27.4700",""
"1/11/2018","","50094 POS PUR 01/10 15:56 MOE'S SW GRILL # WEXFORD PA 00215815 050094 ~5814","-18.2600",""
"1/11/2018","","50103 POS PUR 01/10 16:53 MOE'S SW GRILL # WEXFORD PA 00215815 050103 ~5814","-10.4200",""
"1/10/2018","","94529 POS PUR 01/09 06:40 AMZ*Dive Bar 323-451-2181 WA 00000000 094529 ~7399","-64.3300",""
"1/10/2018","","93762 POS PUR 01/09 08:46 TARGET 00 PITTSBURGH PA 109 093762 ~5310","-20.0700",""
"1/9/2018","","85386 POS PUR 01/08 15:12 AT&T*BILL PAYMEN WWW.ATT.COM TX 0034 085386 ~4814","-94.5900",""
"1/9/2018","","TARGET CARD SRVC BILL PAY 000000006309313","-60.0000",""
"1/9/2018","","24773 POS PUR 01/08 09:24 MARATHON PETRO14 HEIDELBERG PA 01 024773 ~5542","-46.8400",""
"1/9/2018","","PAYPAL INST XFER STARBUCKS","-20.0000",""
"1/9/2018","","68400 POS PUR 01/09 06:22 Audible adbl.co/bill NJ 00000000 068400 ~5968","-15.8500",""
"1/8/2018","0000000588","Check","-658.0000",""
"1/8/2018","","PAYPAL ECHECK 4MK22ACR2FN52","-65.0000",""
"1/8/2018","","50042 POS PUR 01/05 10:49 MANDY'S PIZZA & WEST VIEW PA 00912907 050042 ~5812","-58.8500",""
"1/8/2018","","COMENITY PAY UR WEB PYMT P18005141365649","-29.0000",""
"1/8/2018","","PAYPAL INST XFER MANNING PUB","-23.9900",""
"1/8/2018","","PAYPAL INST XFER JETBRAINSAM","-21.2900",""
"1/8/2018","","56377 POS PUR 01/08 06:35 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 056~5942","-20.9900",""
"1/8/2018","","50084 POS PUR 01/06 13:13 MOE'S SW GRILL # WEXFORD PA 00215815 050084 ~5814","-14.7700",""
"1/8/2018","","10019 POS PUR 01/05 10:49 MOES SOUTHWEST G BRIDGEVILLE PA 00532310 0100~5812","-10.7500",""
"1/8/2018","","PAYPAL INST XFER DROPBOX","-9.9900",""
"1/8/2018","","PAYPAL INST XFER TEAMROCKET","-5.0000",""
"1/5/2018","","DEVELOPMENT DIME DIRECT DEP 596043190679MU9","","1857.5600"
"1/5/2018","","BARCLAYCARD US CREDITCARD 509198638","-60.0000",""
"1/5/2018","","PAYPAL INST XFER SPOTIFYUSAI","-10.6900",""
"1/5/2018","","PAYPAL INST XFER STARBUCKS","-10.0000",""
"1/5/2018","","87152 POS PUR 01/05 21:14 APL* ITUNES.COM/ 866-712-7753 CA 00000000 087~5735","-9.6100",""
"1/4/2018","","69045 POS PUR 01/02 22:52 CARNEGIE MUSEUMS 412-622-3370 PA 00010037 069~7991","-12.5000",""
"1/4/2018","","PAYPAL INST XFER PROSEGARDEN","-1.9900",""
"1/3/2018","","CAPITAL ONE MOBILE PMT 800239809562039","-60.0000",""
"1/2/2018","","NTB ONLINE PMT 112530209253799","-27.0000",""
"1/2/2018","","PAYPAL INST XFER GOOGLE PLAY","-7.9900",""
"1/2/2018","","59611 POS PUR 12/29 15:33 APL* ITUNES.COM/ 866-712-7753 CA 00000000 059~5735","-4.2700",""
"12/29/2017","","AES STDNT LOAN PA3767191732B","-104.8400",""
"12/29/2017","","10058 POS PUR 12/28 11:44 MOES SOUTHWEST G BRIDGEVILLE PA 00532310 0100~5812","-10.4900",""
"12/28/2017","","WalMart CC WM EPAY 1479009416","-60.0000",""
"12/28/2017","","2141 POS PUR 12/27 01:07 DUNKIN #349047 Q PITTSBURGH PA 3490005 002141~5814","-14.5300",""
"12/28/2017","","82317 POS PUR 12/26 01:26 FLAMERS PITTSBURGH PA 74930671 082317 ~5812","-11.4300",""
"12/27/2017","","CAPITAL ONE MOBILE PMT 736039809380840","-80.0000",""
"12/27/2017","","44485 POS PUR 12/26 22:41 GO] CALENDARSGA PITTSBURGH PA 43344485 04448~5999","-2.1300",""
"12/26/2017","","SURCHARGE FEE 454153 BILLPAY 12/26 10:58 DuquesneLight Pittsburgh PA I00933 736","-2.5000",""
"12/26/2017","","9664 POS PUR 12/22 22:55 STATE FARM INSUR 800-956-6310 IL 0001 009664 ~6300","-269.3200",""
"12/26/2017","","454153 BILLPAY 12/26 10:58 DuquesneLight Pittsburgh PA I00933 7360204086~4900","-100.0000",""
"12/26/2017","","5928 RECURRING 12/22 18:47 AT&T*BILL PAYMEN WWW.ATT.COM TX 0034 005928 ~4814","-100.0000",""
"12/26/2017","","60444 POS PUR 12/23 09:35 BURGATORY PITTSBURGH PA 00000000 060444 ~5812","-88.0300",""
"12/26/2017","","15516 POS PUR 12/23 06:38 SUNOCO 036301420 PITTSBURGH PA 0363001 015516~5542","-45.7100",""
"12/26/2017","","65112 POS PUR 12/22 21:01 PAINT NITE HTTPSWWW.PAIN MA 00000000 065112 ~8299","-44.0000",""
